Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.5","","","","","","","","0","3582",""
"1079000","0.0","","9.0","","","","","","","","0","3598",""
"2158000","0.0","","10.5","","","","","","","","0","3598",""
"3237000","0.0","","12.0","","","","","","","","0","3598",""
"4315000","0.0","","13.1","","","","","","","","0","3592",""
"5649000","0.0","","15.0","","","","","","","","0","3597",""
"6728000","0.0","","16.5","","","","","","","","0","3598",""
"7812000","0.0","","17.6","","","","","","","","0","3594",""
"8890000","0.0","","19.1","","","","","","","","0","3595",""
"9969000","0.0","","20.6","","","0.0","","","","","0","3594",""
"11303000","0.0","","22.1","","","0.0","","","","","0","3595",""
"12381000","0.0","","23.6","","","0.0","","","","","0","3593",""
"13460000","0.0","","25.1","","","0.0","","","","","0","3595",""
"14539000","0.0","","26.6","","","0.0","","","","","0","3595",""
"15617000","0.0","","28.1","","","0.0","","","","","0","3596",""
"16956000","0.0","","29.6","","","0.0","","","","","0","3595",""
"18035000","0.0","","31.1","","","0.0","","","","","0","3596",""
"19114000","0.0","","32.6","","","0.0","","","","","0","3597",""
"20192000","0.0","","33.8","","","0.0","","","","","0","3595",""
"21269000","0.0","","35.3","","","0.0","","","","","0","3596",""
"22604000","0.0","","37.2","","","0.0","","","","","0","3596",""
"23682000","0.0","","38.3","","","0.0","","","","","0","3596",""
"24761000","0.0","","39.8","","","0.0","","","","","0","3595",""
"25840000","0.0","","41.3","","","0.0","","","","","0","3595",""
"26924000","0.0","","42.8","","","0.0","","","","","0","3595",""
"28259000","0.0","","44.3","","","0.0","","","","","0","3595",""
"29338000","0.0","","45.8","","","0.0","","","","","0","3595",""
"30416000","0.0","","47.3","","","0.0","","","","","0","3595",""
"31500000","0.0","","48.8","","","0.0","","","","","0","3595",""
"32578000","0.0","","50.3","","","0.0","","","","","0","3595",""
"33912000","0.0","","51.8","","","0.0","","","","","0","3595",""
"34991000","0.0","","53.3","","","0.0","","","","","0","3596",""
"36070000","0.0","","54.8","","","0.0","","","","","0","3596",""
"37155000","0.0","","55.9","","","0.0","","","","","0","3596",""
