Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","8.3","","","","","","","","0","3582",""
"1138000","0.0","","9.8","","","","","","","","0","3606",""
"2217000","0.0","","11.7","","","","","","","","0","3606",""
"3296000","0.0","","13.2","","","","","","","","0","3602",""
"4377000","0.0","","14.7","","","","","","","","0","3604",""
"5710000","0.0","","16.6","","","","","","","","0","3601",""
"6790000","0.0","","18.1","","","","","","","","0","3601",""
"7870000","0.0","","19.6","","","","","","","","0","3600",""
"8949000","0.0","","21.5","","","","","","","","0","3602",""
"10034000","0.0","","23.0","","","0.0","","","","","0","3602",""
"11372000","0.0","","24.9","","","0.0","","","","","0","3600",""
"12452000","0.0","","26.4","","","0.0","","","","","0","3601",""
"13531000","0.0","","27.9","","","0.0","","","","","0","3599",""
"14610000","0.0","","29.8","","","0.0","","","","","0","3602",""
"15689000","0.0","","31.3","","","0.0","","","","","0","3602",""
"17024000","0.0","","33.2","","","0.0","","","","","0","3601",""
"18103000","0.0","","34.7","","","0.0","","","","","0","3600",""
"19187000","0.0","","36.2","","","0.0","","","","","0","3601",""
"20265000","0.0","","37.7","","","0.0","","","","","0","3599",""
"21344000","0.0","","39.6","","","0.0","","","","","0","3601",""
"22678000","0.0","","41.5","","","0.0","","","","","0","3602",""
"23756000","0.0","","43.0","","","0.0","","","","","0","3601",""
"24836000","0.0","","44.5","","","0.0","","","","","0","3601",""
"25915000","0.0","","46.0","","","0.0","","","","","0","3601",""
"26994000","0.0","","47.5","","","0.0","","","","","0","3600",""
"28327000","0.0","","49.4","","","0.0","","","","","0","3600",""
"29412000","0.0","","51.3","","","0.0","","","","","0","3600",""
"30491000","0.0","","52.8","","","0.0","","","","","0","3600",""
"31570000","0.0","","54.3","","","0.0","","","","","0","3600",""
"32649000","0.0","","55.8","","","0.0","","","","","0","3599",""
"33984000","1.45872","","57.7","","","0.145872","","","","","405200","3600",""
"35064000","1.4583148","","59.2","","","0.29170347999999996","","","","","405200","3599",""
"36142000","1.45872","","61.1","","","0.4375754799999999","","","","","405200","3600",""
"37221000","1.45872","","62.6","","","0.5834474799999999","","","","","405200","3600",""
"38299000","1.4583148","","64.1","","","0.7292789599999999","","","","","405200","3599",""
"39639000","1.4583148","","66.0","","","0.8751104399999999","","","","","405200","3599",""
"40719000","1.4583148","","67.5","","","1.0209419199999998","","","","","405200","3599",""
"41798000","1.4583148","","69.0","","","1.1667733999999998","","","","","405200","3599",""
"42877000","1.45872","","70.9","","","1.3126453999999999","","","","","405200","3600",""
"43957000","1.4583148","","72.4","","","1.4584768799999999","","","","","405200","3599",""
"45292000","1.45872","","74.3","","","1.4584768799999999","","","","","405200","3600",""
"46372000","1.45872","","75.8","","","1.4585173999999999","","","","","405200","3600",""
"47449000","1.4583148","","77.3","","","1.4584768799999999","","","","","405200","3599",""
"48528000","1.45872","","79.2","","","1.4584768799999999","","","","","405200","3600",""
"49612000","1.45872","","80.7","","","1.4585173999999999","","","","","405200","3600",""
"50946000","1.4583148","","82.6","","","1.4585173999999999","","","","","405200","3599",""
"52026000","1.45872","","84.1","","","1.4585579199999998","","","","","405200","3600",""
"53110000","1.4583148","","85.6","","","1.4585579199999998","","","","","405200","3599",""
"54190000","1.45872","","87.1","","","1.4585579199999998","","","","","405200","3600",""
"55269000","1.45872","","89.0","","","1.4585984399999998","","","","","405200","3600",""
"56603000","1.45872","","90.9","","","1.4585984399999998","","","","","405200","3600",""
"57682000","1.4583148","","92.4","","","1.4585579199999998","","","","","405200","3599",""
"58762000","1.4583148","","93.9","","","1.4585579199999998","","","","","405200","3599",""
"59847000","1.4583148","","95.4","","","1.4585173999999999","","","","","405200","3599",""
"60926000","1.45872","","97.3","","","1.4585173999999999","","","","","405200","3600",""
"62260000","1.45872","","98.8","","","1.4585579199999998","","","","","405200","3600",""
"63339000","1.45872","","100.7","","","1.4585579199999998","","","","","405200","3600",""
"64418000","1.45872","","102.2","","","1.4585984399999998","","","","","405200","3600",""
"65497000","1.45872","","103.7","","","1.4585984399999998","","","","","405200","3600",""
"66575000","1.4583148","","105.2","","","1.4585579199999998","","","","","405200","3599",""
"67910000","1.45872","","107.1","","","1.4585579199999998","","","","","405200","3600",""
"68989000","1.4583148","","108.6","","","1.4585579199999998","","","","","405200","3599",""
"70074000","1.45872","","110.5","","","1.4585984399999998","","","","","405200","3600",""
"71152000","1.4583148","","112.0","","","1.4585984399999998","","","","","405200","3599",""
"72230000","1.4583148","","113.5","","","1.4585579199999998","","","","","405200","3599",""
"73564000","1.4583148","","115.4","","","1.4585173999999999","","","","","405200","3599",""
"74643000","1.4583148","","116.9","","","1.4584768799999999","","","","","405200","3599",""
"75721000","1.4583148","","118.8","","","1.4584363599999999","","","","","405200","3599",""
"76801000","1.45872","","120.3","","","1.4584363599999999","","","","","405200","3600",""
"77880000","1.4583148","","121.8","","","1.4584363599999999","","","","","405200","3599",""
"79220000","1.4583148","","123.7","","","1.45839584","","","","","405200","3599",""
"80300000","1.4583148","","125.2","","","1.45839584","","","","","405200","3599",""
"81379000","1.4583148","","126.7","","","1.4583553200000001","","","","","405200","3599",""
"82458000","1.4583148","","128.6","","","1.4583553200000001","","","","","405200","3599",""
"83537000","1.4583148","","130.1","","","1.4583553200000001","","","","","405200","3599",""
"84871000","1.4583148","","132.0","","","1.4583553200000001","","","","","405200","3599",""
"85950000","1.4583148","","133.5","","","1.4583553200000001","","","","","405200","3599",""
"87029000","1.4583148","","135.0","","","1.4583553200000001","","","","","405200","3599",""
"88108000","1.4579096","","136.5","","","1.4582742800000001","","","","","405200","3598",""
"89192000","1.4583148","","138.4","","","1.4582742800000001","","","","","405200","3599",""
"90526000","1.4583148","","140.3","","","1.4582742800000001","","","","","405200","3599",""
"91605000","1.45872","","141.8","","","1.4583148000000001","","","","","405200","3600",""
"92684000","1.4583148","","143.3","","","1.4583148000000001","","","","","405200","3599",""
"93763000","1.4583148","","144.9","","","1.4583148000000001","","","","","405200","3599",""
"94847000","1.45872","","146.4","","","1.4583553200000001","","","","","405200","3600",""
"96181000","1.45872","","148.6","","","1.45839584","","","","","405200","3600",""
"97260000","1.45872","","150.1","","","1.4584363599999999","","","","","405200","3600",""
"98339000","1.4583148","","151.6","","","1.4584363599999999","","","","","405200","3599",""
"99424000","1.4583148","","153.2","","","1.4584768799999999","","","","","405200","3599",""
"100503000","1.4583148","","154.7","","","1.4584768799999999","","","","","405200","3599",""
"101839000","1.45872","","156.5","","","1.4585173999999999","","","","","405200","3600",""
"102919000","1.45872","","158.4","","","1.4585173999999999","","","","","405200","3600",""
"103998000","1.45872","","160.0","","","1.4585579199999998","","","","","405200","3600",""
"105077000","1.45872","","161.5","","","1.4585984399999998","","","","","405200","3600",""
"106156000","1.4583148","","163.0","","","1.4585579199999998","","","","","405200","3599",""
"107490000","1.4583148","","164.9","","","1.4585173999999999","","","","","405200","3599",""
"108569000","1.4583148","","166.7","","","1.4584768799999999","","","","","405200","3599",""
"109653000","1.45872","","168.3","","","1.4585173999999999","","","","","405200","3600",""
"110732000","1.4583148","","169.8","","","1.4585173999999999","","","","","405200","3599",""
"111811000","1.4583148","","171.3","","","1.4585173999999999","","","","","405200","3599",""
"113146000","1.4579096","","173.2","","","1.4584363599999999","","","","","405200","3598",""
"114224000","1.4583148","","175.1","","","1.45839584","","","","","405200","3599",""
