Time:ulong,Current:uinteger,Voltage:uinteger
"5655000","1480000","3278"
"6732000","1480000","3280"
"7812000","1480000","3279"
"8890000","1480000","3280"
"9970000","1480000","3278"
"11304000","1480000","3279"
"12388000","1480000","3277"
"13467000","1480000","3278"
"14546000","1480000","3276"
"15623000","1480000","3277"
"16958000","1484000","3276"
"18037000","1484000","3277"
"19115000","1484000","3276"
"20194000","1484000","3277"
"21272000","1484000","3276"
"22611000","1484000","3277"
"23690000","1484000","3276"
"24769000","1484000","3277"
"25848000","1484000","3276"
"26927000","1484000","3276"
"28261000","1370900","3276"
"29340000","1370900","3276"
"30419000","1370900","3276"
"31497000","1370900","3276"
"32582000","1370900","3276"
"33916000","1370900","3276"
"34995000","1370900","3276"
"36073000","1370900","3277"
"37152000","1370900","3276"
"38231000","1370900","3277"
"39570000","1370900","3276"
"40649000","1324600","3276"
"41727000","1324600","3276"
"42810000","1324600","3276"
"43889000","1324600","3276"
"45223000","1324600","3276"
"46301000","1324600","3276"
"47380000","1324600","3276"
"48459000","1324600","3276"
"49538000","1324600","3276"
"50872000","1528800","3276"
"51950000","1528800","3276"
"53035000","1528800","3276"
"54112000","1528800","3276"
"55192000","1528800","3276"
"56525000","1528800","3276"
"57604000","1528800","3276"
"58682000","1528800","3276"
"59761000","1528800","3276"
"60839000","1603300","3276"
"62178000","1603300","3275"
"63257000","1603300","3275"
"64336000","1603300","3275"
"65415000","1603300","3275"
"66493000","1603300","3275"
"67826000","1603300","3275"
"68905000","1603300","3275"
"69983000","1603300","3275"
"71061000","1603300","3275"
"72144000","1350200","3275"
"73478000","1350200","3275"
"74556000","1350200","3275"
"75634000","1350200","3275"
"76713000","1350200","3275"
"77792000","1350200","3275"
"79124000","1350200","3275"
"80203000","1350200","3275"
"81287000","1350200","3275"
"82371000","1350200","3275"
"83449000","1350200","3275"
"84782000","1350200","3275"
"85861000","1350200","3275"
"86940000","1020300","3275"
"88018000","1020300","3275"
"89097000","1020300","3275"
"90430000","1020300","3275"
"91508000","1020300","3275"
"92592000","1020300","3275"
"93669000","1020300","3275"
"94747000","1020300","3275"
"96081000","1020300","3275"
"97160000","1020300","3275"
"98238000","1020300","3275"
"99317000","1020300","3275"
"100395000","1226900","3275"
"101729000","1226900","3275"
"102813000","1226900","3275"
"103891000","1226900","3275"
"104970000","1226900","3275"
"106048000","1226900","3275"
"107383000","1226900","3275"
"108462000","1869600","3275"
"109540000","1869600","3275"
"110618000","1869600","3275"
"111697000","1869600","3275"
"113036000","1869600","3275"
"114115000","1869600","3275"
"115193000","1869600","3275"
"116272000","1869600","3275"
"117349000","1865300","3275"
"118684000","1865300","3275"
"119763000","1865300","3275"
"120842000","1865300","3275"
"121920000","1865300","3275"
"123009000","1865300","3275"
"124343000","1865300","3275"
"125422000","1865300","3275"
"126501000","1865300","3275"
"127579000","1516500","3275"
"128657000","1516500","3275"
"129992000","1516500","3275"
"131070000","1516500","3275"
"132154000","1516500","3275"
"133232000","1516500","3275"
"134311000","1516500","3275"
"135644000","1516500","3275"
"136721000","1516500","3275"
"137801000","1516500","3275"
"138879000","1516500","3275"
"139957000","1250700","3275"
"141291000","1250700","3275"
"142375000","1250700","3275"
"143454000","1250700","3275"
"144532000","1250700","3275"
"145612000","1250700","3275"
"146945000","1250700","3275"
"148024000","1250700","3275"
"149102000","1250700","3275"
"150181000","1250700","3275"
"151259000","1250700","3275"
"152599000","1251700","3275"
"153677000","1251700","3275"
"154756000","1251700","3275"
"155834000","1251700","3275"
"156913000","1251700","3275"
"158246000","1251700","3275"
"159324000","1251700","3275"
"160403000","1251700","3275"
"161482000","1251700","3275"
"162567000","1251700","3275"
"163901000","1251700","3275"
"164985000","1249800","3275"
"166064000","1249800","3275"
"167141000","1249800","3275"
"168219000","1249800","3275"
"169553000","1249800","3275"
"170632000","1249800","3275"
"171710000","1249800","3275"
"172794000","1249800","3275"
"173873000","1249800","3275"
"175207000","1249800","3275"
"176284000","1249800","3275"
"177363000","1250700","3275"
"178442000","1250700","3275"
"179520000","1250700","3275"
"180855000","1250700","3275"
"181934000","1250700","3275"
"183018000","1250700","3275"
"184097000","1250700","3275"
"185175000","1250700","3275"
"186508000","1250700","3275"
"187586000","1250700","3275"
"188665000","1250700","3275"
"189744000","1306600","3275"
"190823000","1306600","3275"
"192161000","1306600","3275"
"193241000","1306600","3275"
"194319000","1306600","3275"
"195397000","1306600","3275"
"196476000","1306600","3275"
"197811000","1306600","3275"
"198889000","1306600","3275"
"199968000","1517200","3275"
"201047000","1517200","3275"
"202131000","1517200","3275"
"203465000","1517200","3275"
"204544000","1517200","3275"
"205622000","1517200","3275"
"206705000","1517200","3275"
"207783000","1517200","3275"
"209117000","1517200","3275"
"210195000","1482900","3275"
"211274000","1482900","3275"
"212359000","1482900","3275"
"213437000","1482900","3274"
"214771000","1482900","3275"
"215850000","1482900","3275"
"216928000","1482900","3275"
"218007000","1482900","3275"
"219086000","1482900","3275"
"220420000","1483100","3275"
"221498000","1483100","3275"
"222583000","1483100","3275"
"223662000","1483100","3275"
"224741000","1483100","3275"
"226076000","1483100","3275"
"227155000","1483100","3275"
"228233000","1483100","3275"
"229312000","1483100","3275"
"230389000","1483100","3275"
"231724000","1412000","3275"
"232809000","1412000","3275"
"233887000","1412000","3275"
"234965000","1412000","3275"
"236044000","1412000","3275"
"237377000","1412000","3275"
"238457000","1412000","3275"
"239535000","1412000","3275"
"240613000","1412000","3275"
"241692000","1412000","3275"
"243032000","1412000","3275"
"244110000","1296700","3275"
"245189000","1296700","3275"
"246267000","1296700","3275"
"247346000","1296700","3275"
