Time:ulong,Current:uinteger,Voltage:uinteger
"0","1297500","3275"
"1335000","1297500","3275"
"2414000","1297500","3275"
"3493000","1297500","3275"
"4572000","1297500","3275"
"5651000","1297500","3275"
"6984000","1297500","3275"
"8073000","1297500","3275"
"9151000","1297500","3275"
"10229000","1296100","3275"
"11308000","1296100","3275"
"12642000","1296100","3275"
"13721000","1296100","3275"
"14799000","1296100","3275"
"15877000","1296100","3275"
"16956000","1296100","3275"
"18296000","1296100","3275"
"19374000","1296100","3275"
"20453000","1296100","3275"
"21532000","1296100","3275"
"22610000","1287800","3275"
"23945000","1287800","3275"
"25022000","1287800","3275"
"26101000","1287800","3275"
"27180000","1287800","3275"
"28264000","1287800","3275"
"29597000","1287800","3275"
"30675000","1287800","3275"
"31753000","1287800","3275"
"32832000","1287800","3275"
"33910000","1287800","3275"
"35244000","1289300","3275"
"36322000","1289300","3275"
"37401000","1289300","3275"
"38484000","1289300","3275"
"39562000","1289300","3275"
"40894000","1289300","3275"
"41973000","1289300","3275"
"43052000","1289300","3275"
"44130000","1289300","3275"
"45208000","1615600","3275"
"46542000","1615600","3275"
"47621000","1615600","3275"
"48705000","1615600","3275"
"49788000","1615600","3275"
"50867000","1615600","3275"
"52201000","1615600","3275"
"53280000","1615600","3275"
"54359000","1615600","3275"
"55437000","1607300","3275"
"56515000","1607300","3275"
"57850000","1607300","3275"
"58934000","1607300","3275"
"60012000","1607300","3275"
"61090000","1607300","3275"
"62169000","1607300","3275"
"63502000","1607300","3275"
"64580000","1607300","3275"
"65659000","1608500","3275"
"66737000","1608500","3275"
"67815000","1608500","3275"
"69155000","1608500","3275"
"70233000","1608500","3275"
"71313000","1608500","3275"
"72391000","1608500","3275"
"73470000","1608500","3275"
"74803000","1608500","3275"
"75883000","1619400","3275"
"76962000","1619400","3275"
"78046000","1619400","3275"
"79125000","1619400","3275"
"80460000","1619400","3275"
"81539000","1619400","3275"
"82618000","1619400","3275"
"83696000","1619400","3275"
"84775000","1619400","3275"
"86108000","1619400","3275"
"87187000","1381100","3275"
"88272000","1381100","3275"
"89350000","1381100","3275"
"90428000","1381100","3275"
"91766000","1381100","3275"
"92844000","1381100","3275"
"93923000","1381100","3275"
"95000000","1381100","3275"
"96079000","1381100","3275"
"97413000","1381100","3275"
"98496000","1442100","3275"
"99573000","1442100","3275"
"100652000","1442100","3275"
"101730000","1442100","3275"
"103064000","1442100","3275"
"104143000","1442100","3275"
"105222000","1442100","3275"
"106300000","1442100","3275"
"107379000","1722600","3275"
"108718000","1722600","3275"
"109797000","1722600","3275"
"110875000","1722600","3275"
"111954000","1722600","3275"
"113033000","1722600","3275"
"114366000","1722600","3275"
"115445000","1722600","3275"
"116523000","1723800","3275"
"117600000","1723800","3275"
"118684000","1723800","3275"
"120018000","1723800","3275"
"121097000","1723800","3275"
"122175000","1723800","3275"
"123253000","1723800","3275"
"124332000","1723800","3275"
"125666000","1723800","3275"
"126743000","1723800","3275"
"127822000","1350900","3275"
"128906000","1350900","3275"
"129985000","1350900","3275"
"131318000","1350900","3275"
"132398000","1350900","3275"
"133481000","1350900","3275"
"134559000","1350900","3275"
"135637000","1350900","3275"
"136971000","1350900","3275"
"138053000","1350900","3275"
"139132000","1350900","3275"
"140210000","1350900","3275"
"141288000","1350900","3275"
"142621000","1059200","3275"
"143699000","1059200","3275"
"144778000","1059200","3275"
"145856000","1059200","3275"
"146935000","1059200","3275"
"148275000","1059200","3275"
"149353000","1059200","3275"
"150431000","1059200","3275"
"151509000","1059200","3275"
"152588000","1059200","3275"
"153921000","1059200","3275"
"154999000","1316200","3275"
"156078000","1316200","3275"
"157156000","1316200","3275"
"158240000","1316200","3275"
"159574000","1316200","3275"
"160652000","1316200","3275"
"161731000","1316200","3275"
"162809000","1316200","3275"
"163888000","1838900","3275"
"165221000","1838900","3275"
"166300000","1838900","3275"
"167378000","1838900","3275"
"168462000","1838900","3275"
"169541000","1838900","3275"
"170875000","1838900","3275"
"171954000","1838900","3275"
"173032000","1850700","3275"
