Time:ulong,Current:uinteger,Voltage:uinteger
"0","728100","3274"
"1079000","728100","3274"
"2158000","728100","3274"
"3492000","728100","3274"
"4570000","728100","3274"
"5649000","728100","3274"
"6728000","728100","3274"
"7807000","728100","3274"
"9146000","733900","3274"
"10225000","733900","3274"
"11304000","733900","3275"
"12382000","733900","3275"
"13461000","733900","3275"
"14795000","733900","3275"
"15874000","733900","3275"
"16953000","733900","3275"
"18032000","733900","3275"
"19115000","733900","3275"
"20449000","733900","3275"
"21527000","733900","3275"
"22610000","733900","3275"
"23689000","733900","3275"
"24767000","733900","3275"
"26101000","733900","3275"
"27179000","733900","3275"
"28264000","733900","3275"
"29343000","733900","3275"
"30422000","726700","3275"
"31755000","726700","3275"
"32834000","726700","3275"
"33912000","726700","3275"
"34991000","726700","3275"
"36070000","726700","3275"
"37404000","726700","3275"
"38488000","726700","3275"
"39567000","726700","3275"
"40646000","726700","3275"
"41724000","726700","3275"
"43058000","726700","3275"
"44136000","726700","3275"
"45216000","726700","3275"
"46294000","726700","3275"
"47373000","726700","3276"
"48713000","726700","3276"
"49793000","726700","3276"
"50871000","734000","3276"
"51951000","734000","3276"
"53030000","734000","3276"
"54363000","734000","3276"
"55442000","734000","3276"
"56520000","734000","3276"
"57599000","734000","3276"
"58683000","734000","3276"
"60016000","734000","3275"
"61095000","734000","3275"
"62175000","734000","3276"
"63253000","734000","3276"
"64331000","734000","3276"
"65670000","734000","3276"
"66749000","734000","3276"
"67827000","734000","3276"
"68911000","734000","3276"
"69990000","734000","3276"
"71323000","728200","3276"
"72402000","728200","3276"
"73480000","728200","3276"
"74559000","728200","3276"
"75638000","728200","3276"
"76972000","728200","3276"
"78056000","728200","3276"
"79136000","728200","3276"
"80214000","728200","3276"
"81293000","728200","3276"
"82627000","728200","3276"
"83706000","728200","3276"
"84784000","728200","3276"
"85863000","728200","3276"
"86942000","728200","3276"
"88282000","728200","3276"
"89360000","728200","3276"
"90439000","728200","3276"
"91518000","728200","3276"
"92597000","732200","3276"
"93931000","732200","3276"
"95011000","732200","3276"
"96090000","732200","3276"
"97169000","732200","3276"
"98254000","732200","3276"
"99589000","732200","3276"
"100667000","732200","3276"
"101746000","732200","3276"
"102825000","732200","3276"
"103904000","732200","3276"
"105238000","732200","3275"
"106317000","732200","3275"
"107400000","732200","3275"
"108484000","732200","3275"
"109563000","732200","3275"
"110896000","732200","3275"
"111975000","732200","3275"
"113055000","733700","3275"
"114134000","733700","3276"
"115213000","733700","3276"
"116548000","733700","3276"
"117627000","733700","3276"
"118711000","733700","3276"
"119790000","733700","3275"
"120868000","733700","3275"
"122203000","733700","3275"
"123281000","733700","3275"
"124360000","733700","3275"
"125438000","733700","3275"
"126517000","733700","3275"
"127851000","733700","3275"
"128935000","733700","3275"
"130014000","733700","3275"
"131094000","733700","3275"
"132172000","733700","3276"
"133506000","728300","3276"
"134584000","728300","3276"
"135663000","728300","3276"
"136742000","728300","3276"
"137821000","728300","3275"
"139161000","728300","3276"
"140240000","728300","3276"
"141319000","728300","3276"
"142397000","728300","3276"
"143476000","728300","3275"
"144809000","728300","3275"
"145888000","728300","3276"
"146967000","728300","3276"
"148051000","728300","3276"
"149135000","728300","3276"
"150469000","728300","3276"
"151549000","728300","3276"
"152627000","728300","3276"
"153706000","728300","3276"
"154785000","732000","3276"
"156119000","732000","3276"
"157197000","732000","3276"
"158281000","732000","3276"
"159360000","732000","3276"
"160439000","732000","3276"
"161773000","732000","3276"
"162852000","732000","3276"
"163931000","732000","3277"
"165010000","732000","3277"
"166089000","732000","3277"
"167423000","732000","3277"
"168507000","732000","3277"
"169585000","732000","3277"
"170665000","732000","3277"
"171744000","732000","3277"
"173078000","732000","3277"
"174157000","732000","3277"
"175234000","728300","3277"
"176313000","728300","3277"
"177392000","728300","3277"
"178732000","728300","3277"
"179810000","728300","3277"
"180889000","728300","3277"
"181967000","728300","3277"
"183045000","728300","3277"
"184379000","728300","3277"
"185458000","728300","3277"
"186537000","728300","3276"
"187616000","728300","3276"
