Time:ulong,Current:uinteger,Voltage:uinteger
"0","749200","3275"
"1334000","749200","3275"
"2413000","749200","3276"
"3491000","749200","3276"
"4570000","749200","3276"
"5648000","749200","3275"
"6982000","749200","3276"
"8066000","749200","3276"
"9149000","749200","3276"
"10227000","749200","3275"
"11305000","749200","3275"
"12639000","749200","3275"
"13718000","749200","3275"
"14796000","745300","3275"
"15875000","745300","3275"
"16954000","745300","3275"
"18293000","745300","3275"
"19371000","745300","3275"
"20450000","745300","3275"
"21528000","745300","3275"
"22606000","745300","3276"
"23941000","745300","3275"
"25020000","745300","3275"
"26098000","745300","3275"
"27177000","745300","3275"
"28261000","745300","3276"
"29594000","745300","3276"
"30672000","745300","3276"
"31751000","745300","3276"
"32830000","745300","3276"
"33909000","745300","3276"
"35243000","751100","3276"
"36322000","751100","3276"
"37400000","751100","3276"
"38485000","751100","3275"
"39563000","751100","3275"
"40897000","751100","3275"
"41976000","751100","3275"
"43055000","751100","3275"
"44134000","751100","3275"
"45213000","751100","3275"
"46547000","751100","3275"
"47625000","751100","3275"
"48710000","751100","3275"
"49789000","751100","3275"
"50871000","751100","3275"
"52206000","751100","3275"
"53284000","751100","3275"
"54361000","751100","3275"
"55440000","749100","3275"
"56519000","749100","3275"
"57854000","749100","3275"
"58938000","749100","3275"
"60017000","749100","3275"
"61096000","749100","3275"
"62174000","749100","3275"
"63509000","749100","3275"
"64587000","749100","3275"
"65665000","749100","3275"
"66744000","749100","3275"
"67823000","749100","3275"
"69163000","749100","3275"
"70242000","749100","3275"
"71319000","749100","3275"
"72398000","749100","3275"
"73476000","749100","3275"
"74809000","749100","3275"
"75888000","745400","3275"
"76967000","745400","3275"
"78051000","745400","3275"
"79129000","745400","3275"
"80463000","745400","3275"
"81542000","745400","3275"
"82620000","745400","3275"
"83698000","745400","3275"
"84777000","745400","3275"
"86112000","745400","3275"
"87190000","745400","3275"
"88274000","745400","3275"
"89353000","745400","3275"
"90431000","745400","3275"
"91765000","745400","3275"
"92848000","745400","3275"
"93927000","745400","3275"
"95006000","745400","3275"
